Method,Estimate,SE,CI Lower,CI Upper
Naive OLS,-8497.516142637023,581.9157900301163,-9638.050133131223,-7356.982152142823
Adjusted OLS,1066.3763691960783,626.8479132143345,-162.22296448810675,2294.9757028802633
DML,1173.3115130948963,705.3396064079309,-209.12871233430542,2555.751738524098
